game_number,game_name,round,player1,player2,answer1,answer2,points1,points2,total1,total2,choice_option1,choice_option2,option_order
68,Total Conflict,1,act_claude2,act_claude2,R,R,3,2,3,2,R,T,"[0, 1]"
68,Total Conflict,2,act_claude2,act_claude2,T,T,2,3,5,5,R,T,"[1, 0]"
68,Total Conflict,3,act_claude2,act_claude2,T,T,2,3,7,8,R,T,"[0, 1]"
68,Total Conflict,4,act_claude2,act_claude2,T,R,4,1,11,9,R,T,"[1, 0]"
68,Total Conflict,5,act_claude2,act_claude2,T,R,4,1,15,10,R,T,"[0, 1]"
68,Total Conflict,6,act_claude2,act_claude2,T,T,2,3,17,13,R,T,"[1, 0]"
68,Total Conflict,7,act_claude2,act_claude2,T,R,4,1,21,14,R,T,"[0, 1]"
68,Total Conflict,8,act_claude2,act_claude2,T,R,4,1,25,15,R,T,"[1, 0]"
68,Total Conflict,9,act_claude2,act_claude2,T,T,2,3,27,18,R,T,"[0, 1]"
68,Total Conflict,10,act_claude2,act_claude2,T,T,2,3,29,21,R,T,"[0, 1]"
68,Total Conflict,1,act_claude2,act_gpt4,R,R,3,2,3,2,R,T,"[0, 1]"
68,Total Conflict,2,act_claude2,act_gpt4,T,T,2,3,5,5,R,T,"[0, 1]"
68,Total Conflict,3,act_claude2,act_gpt4,T,R,4,1,9,6,R,T,"[0, 1]"
68,Total Conflict,4,act_claude2,act_gpt4,T,R,4,1,13,7,R,T,"[1, 0]"
68,Total Conflict,5,act_claude2,act_gpt4,T,T,2,3,15,10,R,T,"[0, 1]"
68,Total Conflict,6,act_claude2,act_gpt4,T,R,4,1,19,11,R,T,"[0, 1]"
68,Total Conflict,7,act_claude2,act_gpt4,T,T,2,3,21,14,R,T,"[1, 0]"
68,Total Conflict,8,act_claude2,act_gpt4,T,T,2,3,23,17,R,T,"[0, 1]"
68,Total Conflict,9,act_claude2,act_gpt4,T,T,2,3,25,20,R,T,"[0, 1]"
68,Total Conflict,10,act_claude2,act_gpt4,T,T,2,3,27,23,R,T,"[0, 1]"
68,Total Conflict,1,act_claude2,act_claude1,R,R,3,2,3,2,R,T,"[0, 1]"
68,Total Conflict,2,act_claude2,act_claude1,T,R,4,1,7,3,R,T,"[1, 0]"
68,Total Conflict,3,act_claude2,act_claude1,T,T,2,3,9,6,R,T,"[1, 0]"
68,Total Conflict,4,act_claude2,act_claude1,T,T,2,3,11,9,R,T,"[0, 1]"
68,Total Conflict,5,act_claude2,act_claude1,T,R,4,1,15,10,R,T,"[0, 1]"
68,Total Conflict,6,act_claude2,act_claude1,T,R,4,1,19,11,R,T,"[1, 0]"
68,Total Conflict,7,act_claude2,act_claude1,T,T,2,3,21,14,R,T,"[0, 1]"
68,Total Conflict,8,act_claude2,act_claude1,T,R,4,1,25,15,R,T,"[1, 0]"
68,Total Conflict,9,act_claude2,act_claude1,T,R,4,1,29,16,R,T,"[1, 0]"
68,Total Conflict,10,act_claude2,act_claude1,T,T,2,3,31,19,R,T,"[0, 1]"
68,Total Conflict,1,act_claude2,act_gpt35,R,R,3,2,3,2,R,T,"[0, 1]"
68,Total Conflict,2,act_claude2,act_gpt35,T,T,2,3,5,5,R,T,"[0, 1]"
68,Total Conflict,3,act_claude2,act_gpt35,T,T,2,3,7,8,R,T,"[0, 1]"
68,Total Conflict,4,act_claude2,act_gpt35,T,R,4,1,11,9,R,T,"[1, 0]"
68,Total Conflict,5,act_claude2,act_gpt35,T,R,4,1,15,10,R,T,"[1, 0]"
68,Total Conflict,6,act_claude2,act_gpt35,T,R,4,1,19,11,R,T,"[1, 0]"
68,Total Conflict,7,act_claude2,act_gpt35,T,R,4,1,23,12,R,T,"[1, 0]"
68,Total Conflict,8,act_claude2,act_gpt35,T,R,4,1,27,13,R,T,"[0, 1]"
68,Total Conflict,9,act_claude2,act_gpt35,T,R,4,1,31,14,R,T,"[0, 1]"
68,Total Conflict,10,act_claude2,act_gpt35,T,R,4,1,35,15,R,T,"[1, 0]"
68,Total Conflict,1,act_gpt4,act_claude2,R,R,3,2,3,2,R,T,"[0, 1]"
68,Total Conflict,2,act_gpt4,act_claude2,R,T,1,4,4,6,R,T,"[1, 0]"
68,Total Conflict,3,act_gpt4,act_claude2,T,T,2,3,6,9,R,T,"[1, 0]"
68,Total Conflict,4,act_gpt4,act_claude2,R,T,1,4,7,13,R,T,"[0, 1]"
68,Total Conflict,5,act_gpt4,act_claude2,T,T,2,3,9,16,R,T,"[1, 0]"
68,Total Conflict,6,act_gpt4,act_claude2,R,T,1,4,10,20,R,T,"[0, 1]"
68,Total Conflict,7,act_gpt4,act_claude2,R,T,1,4,11,24,R,T,"[1, 0]"
68,Total Conflict,8,act_gpt4,act_claude2,T,T,2,3,13,27,R,T,"[1, 0]"
68,Total Conflict,9,act_gpt4,act_claude2,R,T,1,4,14,31,R,T,"[1, 0]"
68,Total Conflict,10,act_gpt4,act_claude2,T,T,2,3,16,34,R,T,"[0, 1]"
