game_number,game_name,round,player1,player2,answer1,answer2,points1,points2,total1,total2,choice_option1,choice_option2,option_order
96,Inferior Cycle,1,act_claude2,act_claude2,J,J,4,3,4,3,J,A,"[0, 1]"
96,Inferior Cycle,2,act_claude2,act_claude2,A,A,3,2,7,5,J,A,"[0, 1]"
96,Inferior Cycle,3,act_claude2,act_claude2,J,J,4,3,11,8,J,A,"[1, 0]"
96,Inferior Cycle,4,act_claude2,act_claude2,J,J,4,3,15,11,J,A,"[0, 1]"
96,Inferior Cycle,5,act_claude2,act_claude2,J,J,4,3,19,14,J,A,"[0, 1]"
96,Inferior Cycle,6,act_claude2,act_claude2,J,J,4,3,23,17,J,A,"[1, 0]"
96,Inferior Cycle,7,act_claude2,act_claude2,J,J,4,3,27,20,J,A,"[0, 1]"
96,Inferior Cycle,8,act_claude2,act_claude2,J,J,4,3,31,23,J,A,"[1, 0]"
96,Inferior Cycle,9,act_claude2,act_claude2,J,J,4,3,35,26,J,A,"[1, 0]"
96,Inferior Cycle,10,act_claude2,act_claude2,J,J,4,3,39,29,J,A,"[1, 0]"
96,Inferior Cycle,1,act_claude2,act_gpt4,J,J,4,3,4,3,J,A,"[1, 0]"
96,Inferior Cycle,2,act_claude2,act_gpt4,J,J,4,3,8,6,J,A,"[1, 0]"
96,Inferior Cycle,3,act_claude2,act_gpt4,J,J,4,3,12,9,J,A,"[0, 1]"
96,Inferior Cycle,4,act_claude2,act_gpt4,J,J,4,3,16,12,J,A,"[0, 1]"
96,Inferior Cycle,5,act_claude2,act_gpt4,J,J,4,3,20,15,J,A,"[0, 1]"
96,Inferior Cycle,6,act_claude2,act_gpt4,J,J,4,3,24,18,J,A,"[1, 0]"
96,Inferior Cycle,7,act_claude2,act_gpt4,J,J,4,3,28,21,J,A,"[1, 0]"
96,Inferior Cycle,8,act_claude2,act_gpt4,J,J,4,3,32,24,J,A,"[1, 0]"
96,Inferior Cycle,9,act_claude2,act_gpt4,J,J,4,3,36,27,J,A,"[1, 0]"
96,Inferior Cycle,10,act_claude2,act_gpt4,A,J,2,2,38,29,J,A,"[0, 1]"
96,Inferior Cycle,1,act_claude2,act_claude1,J,J,4,3,4,3,J,A,"[1, 0]"
96,Inferior Cycle,2,act_claude2,act_claude1,A,J,2,2,6,5,J,A,"[0, 1]"
96,Inferior Cycle,3,act_claude2,act_claude1,J,J,4,3,10,8,J,A,"[0, 1]"
96,Inferior Cycle,4,act_claude2,act_claude1,J,J,4,3,14,11,J,A,"[1, 0]"
96,Inferior Cycle,5,act_claude2,act_claude1,J,J,4,3,18,14,J,A,"[1, 0]"
