game_number,game_name,round,player1,player2,answer1,answer2,points1,points2,total1,total2,choice_option1,choice_option2,option_order
67,Prisoners’ Dilemma,1,act_claude2,act_claude2,K,K,3,3,3,3,K,I,"[1, 0]"
67,Prisoners’ Dilemma,2,act_claude2,act_claude2,I,K,4,1,7,4,K,I,"[1, 0]"
67,Prisoners’ Dilemma,3,act_claude2,act_claude2,I,K,4,1,11,5,K,I,"[1, 0]"
67,Prisoners’ Dilemma,4,act_claude2,act_claude2,I,K,4,1,15,6,K,I,"[1, 0]"
67,Prisoners’ Dilemma,5,act_claude2,act_claude2,I,I,2,2,17,8,K,I,"[0, 1]"
67,Prisoners’ Dilemma,6,act_claude2,act_claude2,I,I,2,2,19,10,K,I,"[0, 1]"
67,Prisoners’ Dilemma,7,act_claude2,act_claude2,I,K,4,1,23,11,K,I,"[0, 1]"
67,Prisoners’ Dilemma,8,act_claude2,act_claude2,I,K,4,1,27,12,K,I,"[0, 1]"
67,Prisoners’ Dilemma,9,act_claude2,act_claude2,I,K,4,1,31,13,K,I,"[1, 0]"
67,Prisoners’ Dilemma,10,act_claude2,act_claude2,I,K,4,1,35,14,K,I,"[1, 0]"
67,Prisoners’ Dilemma,1,act_claude2,act_gpt4,K,K,3,3,3,3,K,I,"[1, 0]"
67,Prisoners’ Dilemma,2,act_claude2,act_gpt4,I,K,4,1,7,4,K,I,"[0, 1]"
67,Prisoners’ Dilemma,3,act_claude2,act_gpt4,I,K,4,1,11,5,K,I,"[0, 1]"
67,Prisoners’ Dilemma,4,act_claude2,act_gpt4,I,K,4,1,15,6,K,I,"[0, 1]"
67,Prisoners’ Dilemma,5,act_claude2,act_gpt4,I,I,2,2,17,8,K,I,"[0, 1]"
67,Prisoners’ Dilemma,6,act_claude2,act_gpt4,I,K,4,1,21,9,K,I,"[1, 0]"
67,Prisoners’ Dilemma,7,act_claude2,act_gpt4,I,I,2,2,23,11,K,I,"[0, 1]"
67,Prisoners’ Dilemma,8,act_claude2,act_gpt4,I,I,2,2,25,13,K,I,"[1, 0]"
67,Prisoners’ Dilemma,9,act_claude2,act_gpt4,I,I,2,2,27,15,K,I,"[0, 1]"
67,Prisoners’ Dilemma,10,act_claude2,act_gpt4,I,I,2,2,29,17,K,I,"[0, 1]"
67,Prisoners’ Dilemma,1,act_claude2,act_claude1,K,K,3,3,3,3,K,I,"[1, 0]"
67,Prisoners’ Dilemma,2,act_claude2,act_claude1,I,K,4,1,7,4,K,I,"[1, 0]"
67,Prisoners’ Dilemma,3,act_claude2,act_claude1,I,I,2,2,9,6,K,I,"[0, 1]"
67,Prisoners’ Dilemma,4,act_claude2,act_claude1,I,K,4,1,13,7,K,I,"[0, 1]"
67,Prisoners’ Dilemma,5,act_claude2,act_claude1,I,K,4,1,17,8,K,I,"[1, 0]"
67,Prisoners’ Dilemma,6,act_claude2,act_claude1,I,K,4,1,21,9,K,I,"[1, 0]"
67,Prisoners’ Dilemma,7,act_claude2,act_claude1,I,I,2,2,23,11,K,I,"[0, 1]"
67,Prisoners’ Dilemma,8,act_claude2,act_claude1,I,K,4,1,27,12,K,I,"[1, 0]"
67,Prisoners’ Dilemma,9,act_claude2,act_claude1,I,I,2,2,29,14,K,I,"[0, 1]"
