game_number,game_name,round,player1,player2,answer1,answer2,points1,points2,total1,total2,choice_option1,choice_option2,option_order
66,Asym Pd,1,act_claude2,act_claude2,A,V,4,1,4,1,V,A,"[0, 1]"
66,Asym Pd,2,act_claude2,act_claude2,A,V,4,1,8,2,V,A,"[1, 0]"
66,Asym Pd,3,act_claude2,act_claude2,A,A,2,2,10,4,V,A,"[0, 1]"
66,Asym Pd,4,act_claude2,act_claude2,A,V,4,1,14,5,V,A,"[0, 1]"
66,Asym Pd,5,act_claude2,act_claude2,A,A,2,2,16,7,V,A,"[0, 1]"
66,Asym Pd,6,act_claude2,act_claude2,A,V,4,1,20,8,V,A,"[0, 1]"
66,Asym Pd,7,act_claude2,act_claude2,A,A,2,2,22,10,V,A,"[0, 1]"
66,Asym Pd,8,act_claude2,act_claude2,A,V,4,1,26,11,V,A,"[1, 0]"
66,Asym Pd,9,act_claude2,act_claude2,A,A,2,2,28,13,V,A,"[0, 1]"
66,Asym Pd,10,act_claude2,act_claude2,A,A,2,2,30,15,V,A,"[0, 1]"
66,Asym Pd,1,act_claude2,act_gpt4,A,V,4,1,4,1,V,A,"[0, 1]"
66,Asym Pd,2,act_claude2,act_gpt4,A,V,4,1,8,2,V,A,"[1, 0]"
66,Asym Pd,3,act_claude2,act_gpt4,A,V,4,1,12,3,V,A,"[1, 0]"
66,Asym Pd,4,act_claude2,act_gpt4,A,A,2,2,14,5,V,A,"[0, 1]"
66,Asym Pd,5,act_claude2,act_gpt4,A,A,2,2,16,7,V,A,"[0, 1]"
66,Asym Pd,6,act_claude2,act_gpt4,A,A,2,2,18,9,V,A,"[0, 1]"
66,Asym Pd,7,act_claude2,act_gpt4,A,A,2,2,20,11,V,A,"[0, 1]"
66,Asym Pd,8,act_claude2,act_gpt4,A,A,2,2,22,13,V,A,"[1, 0]"
66,Asym Pd,9,act_claude2,act_gpt4,A,A,2,2,24,15,V,A,"[0, 1]"
66,Asym Pd,10,act_claude2,act_gpt4,A,A,2,2,26,17,V,A,"[1, 0]"
66,Asym Pd,1,act_claude2,act_claude1,A,V,4,1,4,1,V,A,"[0, 1]"
66,Asym Pd,2,act_claude2,act_claude1,A,V,4,1,8,2,V,A,"[1, 0]"
66,Asym Pd,3,act_claude2,act_claude1,A,V,4,1,12,3,V,A,"[0, 1]"
66,Asym Pd,4,act_claude2,act_claude1,A,A,2,2,14,5,V,A,"[0, 1]"
66,Asym Pd,5,act_claude2,act_claude1,A,V,4,1,18,6,V,A,"[0, 1]"
66,Asym Pd,6,act_claude2,act_claude1,A,V,4,1,22,7,V,A,"[0, 1]"
66,Asym Pd,7,act_claude2,act_claude1,A,V,4,1,26,8,V,A,"[1, 0]"
66,Asym Pd,8,act_claude2,act_claude1,A,A,2,2,28,10,V,A,"[1, 0]"
66,Asym Pd,9,act_claude2,act_claude1,A,A,2,2,30,12,V,A,"[1, 0]"
66,Asym Pd,10,act_claude2,act_claude1,A,A,2,2,32,14,V,A,"[1, 0]"
66,Asym Pd,1,act_claude2,act_gpt35,V,V,3,4,3,4,V,A,"[1, 0]"
66,Asym Pd,2,act_claude2,act_gpt35,A,V,4,1,7,5,V,A,"[1, 0]"
66,Asym Pd,3,act_claude2,act_gpt35,A,V,4,1,11,6,V,A,"[0, 1]"
66,Asym Pd,4,act_claude2,act_gpt35,A,V,4,1,15,7,V,A,"[0, 1]"
66,Asym Pd,5,act_claude2,act_gpt35,A,V,4,1,19,8,V,A,"[0, 1]"
66,Asym Pd,6,act_claude2,act_gpt35,A,V,4,1,23,9,V,A,"[0, 1]"
66,Asym Pd,7,act_claude2,act_gpt35,A,V,4,1,27,10,V,A,"[1, 0]"
66,Asym Pd,8,act_claude2,act_gpt35,A,V,4,1,31,11,V,A,"[1, 0]"
66,Asym Pd,9,act_claude2,act_gpt35,A,V,4,1,35,12,V,A,"[0, 1]"
66,Asym Pd,10,act_claude2,act_gpt35,A,V,4,1,39,13,V,A,"[0, 1]"
66,Asym Pd,1,act_gpt4,act_claude2,A,V,4,1,4,1,V,A,"[0, 1]"
66,Asym Pd,2,act_gpt4,act_claude2,A,V,4,1,8,2,V,A,"[1, 0]"
66,Asym Pd,3,act_gpt4,act_claude2,A,V,4,1,12,3,V,A,"[1, 0]"
66,Asym Pd,4,act_gpt4,act_claude2,A,A,2,2,14,5,V,A,"[0, 1]"
66,Asym Pd,5,act_gpt4,act_claude2,A,A,2,2,16,7,V,A,"[0, 1]"
66,Asym Pd,6,act_gpt4,act_claude2,A,V,4,1,20,8,V,A,"[1, 0]"
66,Asym Pd,7,act_gpt4,act_claude2,A,V,4,1,24,9,V,A,"[0, 1]"
66,Asym Pd,8,act_gpt4,act_claude2,A,V,4,1,28,10,V,A,"[1, 0]"
66,Asym Pd,9,act_gpt4,act_claude2,A,A,2,2,30,12,V,A,"[0, 1]"
66,Asym Pd,10,act_gpt4,act_claude2,A,A,2,2,32,14,V,A,"[0, 1]"
66,Asym Pd,1,act_gpt4,act_gpt4,A,V,4,1,4,1,V,A,"[1, 0]"
66,Asym Pd,2,act_gpt4,act_gpt4,A,V,4,1,8,2,V,A,"[1, 0]"
66,Asym Pd,3,act_gpt4,act_gpt4,A,V,4,1,12,3,V,A,"[0, 1]"
66,Asym Pd,4,act_gpt4,act_gpt4,A,A,2,2,14,5,V,A,"[1, 0]"
66,Asym Pd,5,act_gpt4,act_gpt4,A,A,2,2,16,7,V,A,"[1, 0]"
66,Asym Pd,6,act_gpt4,act_gpt4,A,A,2,2,18,9,V,A,"[0, 1]"
66,Asym Pd,7,act_gpt4,act_gpt4,A,A,2,2,20,11,V,A,"[1, 0]"
66,Asym Pd,8,act_gpt4,act_gpt4,A,A,2,2,22,13,V,A,"[0, 1]"
66,Asym Pd,9,act_gpt4,act_gpt4,A,A,2,2,24,15,V,A,"[1, 0]"
66,Asym Pd,10,act_gpt4,act_gpt4,A,A,2,2,26,17,V,A,"[1, 0]"
66,Asym Pd,1,act_gpt4,act_claude1,A,V,4,1,4,1,V,A,"[0, 1]"
66,Asym Pd,2,act_gpt4,act_claude1,A,V,4,1,8,2,V,A,"[0, 1]"
66,Asym Pd,3,act_gpt4,act_claude1,A,V,4,1,12,3,V,A,"[0, 1]"
66,Asym Pd,4,act_gpt4,act_claude1,A,V,4,1,16,4,V,A,"[1, 0]"
66,Asym Pd,5,act_gpt4,act_claude1,A,A,2,2,18,6,V,A,"[0, 1]"
66,Asym Pd,6,act_gpt4,act_claude1,A,V,4,1,22,7,V,A,"[1, 0]"
66,Asym Pd,7,act_gpt4,act_claude1,A,V,4,1,26,8,V,A,"[1, 0]"
66,Asym Pd,8,act_gpt4,act_claude1,A,A,2,2,28,10,V,A,"[0, 1]"
66,Asym Pd,9,act_gpt4,act_claude1,A,V,4,1,32,11,V,A,"[0, 1]"
66,Asym Pd,10,act_gpt4,act_claude1,A,A,2,2,34,13,V,A,"[1, 0]"
66,Asym Pd,1,act_gpt4,act_gpt35,A,V,4,1,4,1,V,A,"[1, 0]"
66,Asym Pd,2,act_gpt4,act_gpt35,A,V,4,1,8,2,V,A,"[1, 0]"
66,Asym Pd,3,act_gpt4,act_gpt35,A,V,4,1,12,3,V,A,"[1, 0]"
66,Asym Pd,4,act_gpt4,act_gpt35,A,V,4,1,16,4,V,A,"[1, 0]"
66,Asym Pd,5,act_gpt4,act_gpt35,A,V,4,1,20,5,V,A,"[0, 1]"
66,Asym Pd,6,act_gpt4,act_gpt35,A,V,4,1,24,6,V,A,"[1, 0]"
66,Asym Pd,7,act_gpt4,act_gpt35,A,V,4,1,28,7,V,A,"[0, 1]"
66,Asym Pd,8,act_gpt4,act_gpt35,A,V,4,1,32,8,V,A,"[1, 0]"
66,Asym Pd,9,act_gpt4,act_gpt35,A,V,4,1,36,9,V,A,"[0, 1]"
66,Asym Pd,10,act_gpt4,act_gpt35,A,V,4,1,40,10,V,A,"[0, 1]"
66,Asym Pd,1,act_claude1,act_claude2,A,V,4,1,4,1,V,A,"[0, 1]"
66,Asym Pd,2,act_claude1,act_claude2,A,A,2,2,6,3,V,A,"[0, 1]"
66,Asym Pd,3,act_claude1,act_claude2,A,V,4,1,10,4,V,A,"[0, 1]"
66,Asym Pd,4,act_claude1,act_claude2,A,V,4,1,14,5,V,A,"[0, 1]"
66,Asym Pd,5,act_claude1,act_claude2,A,V,4,1,18,6,V,A,"[0, 1]"
66,Asym Pd,6,act_claude1,act_claude2,A,V,4,1,22,7,V,A,"[0, 1]"
66,Asym Pd,7,act_claude1,act_claude2,A,V,4,1,26,8,V,A,"[1, 0]"
66,Asym Pd,8,act_claude1,act_claude2,A,V,4,1,30,9,V,A,"[0, 1]"
66,Asym Pd,9,act_claude1,act_claude2,A,V,4,1,34,10,V,A,"[1, 0]"
66,Asym Pd,10,act_claude1,act_claude2,A,A,2,2,36,12,V,A,"[0, 1]"
66,Asym Pd,1,act_claude1,act_gpt4,A,V,4,1,4,1,V,A,"[1, 0]"
66,Asym Pd,2,act_claude1,act_gpt4,V,V,3,4,7,5,V,A,"[1, 0]"
66,Asym Pd,3,act_claude1,act_gpt4,A,V,4,1,11,6,V,A,"[0, 1]"
66,Asym Pd,4,act_claude1,act_gpt4,A,V,4,1,15,7,V,A,"[0, 1]"
66,Asym Pd,5,act_claude1,act_gpt4,A,A,2,2,17,9,V,A,"[1, 0]"
66,Asym Pd,6,act_claude1,act_gpt4,A,V,4,1,21,10,V,A,"[0, 1]"
66,Asym Pd,7,act_claude1,act_gpt4,A,A,2,2,23,12,V,A,"[0, 1]"
66,Asym Pd,8,act_claude1,act_gpt4,A,A,2,2,25,14,V,A,"[1, 0]"
66,Asym Pd,9,act_claude1,act_gpt4,A,A,2,2,27,16,V,A,"[1, 0]"
66,Asym Pd,10,act_claude1,act_gpt4,A,A,2,2,29,18,V,A,"[0, 1]"
66,Asym Pd,1,act_claude1,act_claude1,A,V,4,1,4,1,V,A,"[1, 0]"
66,Asym Pd,2,act_claude1,act_claude1,V,V,3,4,7,5,V,A,"[1, 0]"
66,Asym Pd,3,act_claude1,act_claude1,A,V,4,1,11,6,V,A,"[0, 1]"
66,Asym Pd,4,act_claude1,act_claude1,A,V,4,1,15,7,V,A,"[1, 0]"
66,Asym Pd,5,act_claude1,act_claude1,A,V,4,1,19,8,V,A,"[1, 0]"
66,Asym Pd,6,act_claude1,act_claude1,A,V,4,1,23,9,V,A,"[1, 0]"
66,Asym Pd,7,act_claude1,act_claude1,A,V,4,1,27,10,V,A,"[1, 0]"
66,Asym Pd,8,act_claude1,act_claude1,A,A,2,2,29,12,V,A,"[1, 0]"
66,Asym Pd,9,act_claude1,act_claude1,A,V,4,1,33,13,V,A,"[1, 0]"
66,Asym Pd,10,act_claude1,act_claude1,A,A,2,2,35,15,V,A,"[0, 1]"
66,Asym Pd,1,act_claude1,act_gpt35,A,V,4,1,4,1,V,A,"[1, 0]"
66,Asym Pd,2,act_claude1,act_gpt35,V,V,3,4,7,5,V,A,"[1, 0]"
66,Asym Pd,3,act_claude1,act_gpt35,A,V,4,1,11,6,V,A,"[0, 1]"
66,Asym Pd,4,act_claude1,act_gpt35,A,V,4,1,15,7,V,A,"[0, 1]"
66,Asym Pd,5,act_claude1,act_gpt35,A,V,4,1,19,8,V,A,"[0, 1]"
66,Asym Pd,6,act_claude1,act_gpt35,A,V,4,1,23,9,V,A,"[0, 1]"
66,Asym Pd,7,act_claude1,act_gpt35,A,V,4,1,27,10,V,A,"[0, 1]"
66,Asym Pd,8,act_claude1,act_gpt35,A,V,4,1,31,11,V,A,"[1, 0]"
66,Asym Pd,9,act_claude1,act_gpt35,A,V,4,1,35,12,V,A,"[0, 1]"
66,Asym Pd,10,act_claude1,act_gpt35,A,V,4,1,39,13,V,A,"[0, 1]"
66,Asym Pd,1,act_gpt35,act_claude2,V,V,3,4,3,4,V,A,"[1, 0]"
66,Asym Pd,2,act_gpt35,act_claude2,V,V,3,4,6,8,V,A,"[1, 0]"
66,Asym Pd,3,act_gpt35,act_claude2,V,V,3,4,9,12,V,A,"[1, 0]"
